,id_new,id,pt,geometry,all_tags
0,47.006201_6.9670316_ts2,47.006_6.967_ts2,"(47.006201, 6.9670316)","POLYGON((6.9670316 47.006201, 6.9668722 47.0063501, 6.9664933 47.0061618, 6.9666527 47.0060127, 6.9670316 47.006201))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'no'}, {'key': 'operator', 'value': 'Semtech'}, {'key': 'operator:type', 'value': 'business'}, {'key': 'parking', 'value': 'surface'}, {'key': 'source', 'value': 'Orthophotos 2006 SITN 50cm'}, {'key': 'surface', 'value': 'asphalt'}]"
1,39.7880508_-105.0333886_ts2,39.788_-105.033_ts2,"(39.7880508, -105.0333886)","POLYGON((-105.0333886 39.7880508, -105.0334789 39.7880503, -105.0334762 39.7877049, -105.0334094 39.7877052, -105.033409 39.7876647, -105.033201 39.7876656, -105.0332013 39.7877006, -105.0331246 39.787701, -105.0331243 39.787667, -105.0330477 39.7876674, -105.0330478 39.7876816, -105.0329645 39.7876819, -105.0329664 39.7879316, -105.0329671 39.7880212, -105.0330358 39.7880209, -105.0330364 39.7881039, -105.033389 39.7881022, -105.0333886 39.7880508))","[{'key': 'access', 'value': 'yes'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '50'}, {'key': 'fee', 'value': 'yes'}, {'key': 'name', 'value': 'Regis University Parking Lot 2'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
2,41.1745044_-83.4191734_ts2,41.175_-83.419_ts2,"(41.1745044, -83.4191734)","POLYGON((-83.4191734 41.1745044, -83.4191729 41.1745729, -83.4193537 41.1745699, -83.4193563 41.1745034, -83.4193511 41.1744339, -83.419174 41.1744359, -83.4191734 41.1745044))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
3,4.9431691_114.9351884_ts2,4.943_114.935_ts2,"(4.9431691, 114.9351884)","POLYGON((114.9351884 4.9431691, 114.9352353 4.9431413, 114.9361701 4.9447044, 114.9360862 4.9447541, 114.9361702 4.9448946, 114.935975 4.9450105, 114.935896 4.9448783, 114.9356047 4.9450512, 114.9347233 4.9435773, 114.9347652 4.9435524, 114.9347063 4.943454, 114.9348171 4.9433882, 114.9347882 4.9433398, 114.9351589 4.9431198, 114.9351884 4.9431691))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'fee', 'value': 'yes'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
4,50.7486297_-1.8496005_ts2,50.749_-1.85_ts2,"(50.7486297, -1.8496005)","POLYGON((-1.8496005 50.7486297, -1.8493395 50.7488674, -1.8499801 50.7491626, -1.850249 50.7489224, -1.8496005 50.7486297))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
5,48.8020305_-122.4854569_ts2,48.802_-122.485_ts2,"(48.8020305, -122.4854569)","POLYGON((-122.4854569 48.8020305, -122.485553 48.8019996, -122.4855513 48.8018238, -122.4856863 48.8018232, -122.4856818 48.8013483, -122.4854763 48.8012005, -122.4831563 48.8011652, -122.4829225 48.8011463, -122.4828683 48.8012654, -122.482932 48.8012781, -122.4829324 48.8024191, -122.484229 48.8024136, -122.4843098 48.8023886, -122.4844582 48.8023431, -122.4847742 48.8023444, -122.4847733 48.802444, -122.4854032 48.8024466, -122.4854046 48.8022987, -122.4857678 48.8023002, -122.4857671 48.8023702, -122.4858526 48.8023706, -122.485854 48.8022206, -122.4857712 48.8022203, -122.4857631 48.8022012, -122.4844608 48.802211, -122.484462 48.8022769, -122.4842261 48.8022786, -122.4842225 48.8020693, -122.4846362 48.8020662, -122.4847247 48.8020433, -122.4848792 48.8020386, -122.4854569 48.8020305))","[{'key': 'access', 'value': 'permissive'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'covered', 'value': 'no'}, {'key': 'fee', 'value': 'no'}, {'key': 'operator', 'value': 'Walmart'}, {'key': 'park_ride', 'value': 'no'}, {'key': 'parking', 'value': 'surface'}, {'key': 'source', 'value': 'Local knowledge'}, {'key': 'surface', 'value': 'asphalt'}]"
6,43.218632_-79.756502_ts2,43.219_-79.757_ts2,"(43.218632, -79.756502)","POLYGON((-79.756502 43.218632, -79.7566268 43.2183449, -79.7562668 43.2182618, -79.756142 43.2185489, -79.756502 43.218632))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
7,43.2193072_-79.7568627_ts2,43.219_-79.757_ts2,"(43.2193072, -79.7568627)","POLYGON((-79.7568627 43.2193072, -79.7565823 43.21924, -79.7565702 43.2192669, -79.7563434 43.2192125, -79.7564454 43.2189868, -79.7569494 43.2191077, -79.7570477 43.2188901, -79.7569879 43.2188758, -79.757008 43.2188313, -79.7567469 43.2187686, -79.7567237 43.2188199, -79.7566796 43.2188093, -79.7565904 43.2190068, -79.7563288 43.2189441, -79.7562006 43.2192279, -79.7568303 43.219379, -79.7568627 43.2193072))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
8,53.0629018_4.7611452_ts2,53.063_4.761_ts2,"(53.0629018, 4.7611452)","POLYGON((4.7611452 53.0629018, 4.7614561 53.0629608, 4.7613752 53.063115, 4.761729 53.0631821, 4.7617375 53.0631658, 4.762662 53.063341, 4.762588 53.0634821, 4.7624949 53.0636594, 4.7624329 53.0637775, 4.7621738 53.0637284, 4.7623383 53.0634151, 4.7613351 53.0632249, 4.7609212 53.0631464, 4.7610291 53.0629408, 4.7611452 53.0629018))","[{'key': 'access', 'value': 'permissive'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'source', 'value': 'local & arial survey Bing 09-10-16'}, {'key': 'surface', 'value': 'asphalt'}]"
9,56.2996608_43.9510713_ts2,56.3_43.951_ts2,"(56.2996608, 43.9510713)","POLYGON((43.9510713 56.2996608, 43.9510803 56.2995047, 43.9519501 56.299505, 43.9519457 56.2996638, 43.9510713 56.2996608))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'parking', 'value': 'surface'}, {'key': 'surface', 'value': 'asphalt'}]"
