,id_new,id,pt,geometry,all_tags
0,36.5400085_-89.5958862_ts1,36.54_-89.596_ts1,"(36.5400085, -89.5958862)","POLYGON((-89.5958862 36.5400085, -89.5959794 36.5399108, -89.5959713 36.5389824, -89.5956878 36.5389447, -89.5933342 36.5389781, -89.592955 36.5396274, -89.5929756 36.5396616, -89.5930685 36.5398163, -89.5932023 36.5399922, -89.5933118 36.540028, -89.5958862 36.5400085))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truck Parking'}]"
1,54.8565589_-2.875634_ts1,54.857_-2.876_ts1,"(54.8565589, -2.875634)","POLYGON((-2.875634 54.8565589, -2.8753282 54.8562748, -2.8749419 54.8564416, -2.874781 54.8563119, -2.8738583 54.8567195, -2.8741909 54.8570005, -2.8742607 54.8569634, -2.8745664 54.8572105, -2.874722 54.8571271, -2.8748293 54.8572012, -2.8751029 54.8571086, -2.87506 54.8570376, -2.8752102 54.856982, -2.8751512 54.8569295, -2.8754891 54.8567874, -2.8755481 54.8567442, -2.87565 54.8566022, -2.875634 54.8565589))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'Truck Stop'}, {'key': 'source', 'value': 'Bing'}, {'key': 'surface', 'value': 'paved'}]"
2,38.2476037_-84.5447897_ts1,38.248_-84.545_ts1,"(38.2476037, -84.5447897)","POLYGON((-84.5447897 38.2476037, -84.5451907 38.248718, -84.5453114 38.2486864, -84.5454267 38.2484779, -84.545589 38.2488908, -84.5460892 38.2490635, -84.5455608 38.247628, -84.5453342 38.2475247, -84.5452242 38.2474352, -84.5451666 38.247333, -84.5449936 38.2473004, -84.5447897 38.2476037))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
3,35.4256176_-84.6888667_ts1,35.426_-84.689_ts1,"(35.4256176, -84.6888667)","POLYGON((-84.6888667 35.4256176, -84.6887835 35.425551, -84.6868832 35.4273159, -84.6868457 35.4273672, -84.6868322 35.4274514, -84.6868537 35.4276579, -84.6868175 35.4277213, -84.6869422 35.4278043, -84.6888318 35.4260471, -84.6888747 35.4259968, -84.6888882 35.4259324, -84.6888667 35.4256176))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
4,42.7899152_-82.66045_ts1,42.79_-82.66_ts1,"(42.7899152, -82.66045)","POLYGON((-82.66045 42.7899152, -82.6597848 42.790053, -82.6595112 42.7902361, -82.6594683 42.7903227, -82.658095 42.7913334, -82.6587226 42.7912389, -82.6604982 42.7899526, -82.66045 42.7899152))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
5,39.1088222_-108.6404595_ts1,39.109_-108.64_ts1,"(39.1088222, -108.6404595)","POLYGON((-108.6404595 39.1088222, -108.6391023 39.1087618, -108.6390997 39.1093591, -108.6404535 39.1094178, -108.6404595 39.1088222))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '60'}, {'key': 'name', 'value': 'Truck Parking'}, {'key': 'parking', 'value': 'surface'}]"
6,49.7029427_5.6228375_ts1,49.703_5.623_ts1,"(49.7029427, 5.6228375)","POLYGON((5.6228375 49.7029427, 5.6228145 49.7029055, 5.6228032 49.7028746, 5.6228104 49.7028406, 5.6228359 49.7028141, 5.6229637 49.7027687, 5.6233477 49.7026685, 5.6239502 49.7026793, 5.6244778 49.7032872, 5.6248013 49.7033857, 5.625436 49.703171, 5.6252652 49.7027693, 5.6257809 49.7027541, 5.6258298 49.7042753, 5.6257873 49.7048096, 5.6251368 49.704847, 5.6250808 49.704169, 5.6252419 49.7041401, 5.6253021 49.7040962, 5.6252419 49.703943, 5.6250517 49.7039204, 5.6245994 49.7033843, 5.6235635 49.7037543, 5.6228375 49.7029427))","[{'key': 'access', 'value': 'customers'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'capacity', 'value': '100'}, {'key': 'fee', 'value': 'no'}, {'key': 'hgv', 'value': 'designated'}, {'key': 'name', 'value': 'Truck Center Habay'}, {'key': 'operator', 'value': 'truck center'}, {'key': 'parking', 'value': 'surface'}, {'key': 'source', 'value': 'local knowledge'}]"
7,52.0690987_6.1927309_ts1,52.069_6.193_ts1,"(52.0690987, 6.1927309)","POLYGON((6.1927309 52.0690987, 6.1926831 52.069078, 6.1926715 52.0690547, 6.1927983 52.0684999, 6.1928297 52.0683317, 6.1927484 52.0683228, 6.1927704 52.0682304, 6.1928808 52.0682392, 6.192915 52.0682247, 6.1929461 52.0681066, 6.1929885 52.0680756, 6.1930794 52.0680727, 6.1936107 52.0680944, 6.1936771 52.0681242, 6.1936986 52.0681613, 6.1934503 52.0691281, 6.193434 52.0691506, 6.1934028 52.069159, 6.1932004 52.0691453, 6.1931596 52.0691378, 6.1929231 52.0691216, 6.1927309 52.0690987))","[{'key': 'access', 'value': 'private'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'Truckparking'}]"
8,47.6654489_16.6058452_ts1,47.665_16.606_ts1,"(47.6654489, 16.6058452)","POLYGON((16.6058452 47.6654489, 16.6067932 47.6647903, 16.6072551 47.6647537, 16.6076078 47.6645204, 16.6076772 47.6645489, 16.6079738 47.6646704, 16.6059115 47.6661082, 16.6057006 47.6659711, 16.6053867 47.665767, 16.605502 47.665687, 16.6058452 47.6654489))","[{'key': 'access', 'value': 'permissive'}, {'key': 'amenity', 'value': 'parking'}, {'key': 'highway', 'value': 'service'}, {'key': 'name', 'value': 'Truck terminal'}, {'key': 'parking', 'value': 'surface'}]"
9,41.7493113_-85.6648099_ts1,41.749_-85.665_ts1,"(41.7493113, -85.6648099)","POLYGON((-85.6648099 41.7493113, -85.6647751 41.7493874, -85.6648287 41.7494354, -85.6654108 41.750478, -85.6655636 41.750484, -85.6684014 41.7498636, -85.6682459 41.748807, -85.668278 41.748691, -85.6681761 41.7485809, -85.6678328 41.748663, -85.6674036 41.7488671, -85.6669503 41.7490572, -85.6662825 41.7492113, -85.6657165 41.7493033, -85.6652927 41.7493233, -85.6648099 41.7493113))","[{'key': 'amenity', 'value': 'parking'}, {'key': 'name', 'value': 'truck parking'}, {'key': 'parking', 'value': 'surface'}]"
